protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,bidirectional,2,PRODUCTION_FAIL,FAIL,0.4491,detached,WARN,PASS,PASS,20.0,1.845,0.183,yes,yes,yes,no,no,retention 0.449 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.1966,detached,WARN,PASS,PASS,20.0,2.962,2.638,yes,yes,yes,no,no,retention 0.197 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,head-side,1,PRODUCTION_FAIL,FAIL,0.0204,detached,WARN,PASS,PASS,20.0,3.239,3.31,yes,yes,yes,no,no,retention 0.020 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.203,0.24,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,head-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.207,0.186,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,tail-side,1,PRODUCTION_WARN,WARN,0.6230,partial,WARN,PASS,PASS,20.0,1.065,3.639,yes,yes,yes,no,no,retention 0.623 below 0.8; retention verdict WARN; stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,tail-side,2,PRODUCTION_FAIL,FAIL,0.4852,detached,WARN,PASS,PASS,20.0,2.119,2.333,yes,yes,yes,no,no,retention 0.485 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00083,IsPETase WT,PET_L10,10,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,runtime,tail-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.2,0.208,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,bidirectional,1,PRODUCTION_WARN,PASS,0.8840,retained,WARN,PASS,PASS,20.0,0.395,0.204,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,bidirectional,2,PRODUCTION_WARN,PASS,0.8424,retained,WARN,PASS,PASS,20.0,0.666,3.929,yes,yes,yes,yes,no,stability verdict WARN
