trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00075__PET_L10__bidirectional__r2,FoCut5a,Pro00075,10,bidirectional,2,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.3840,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1242991080,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__bidirectional__r3,FoCut5a,Pro00075,10,bidirectional,3,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.2732,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,34806662,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__head-side__r1,FoCut5a,Pro00075,10,head-side,1,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,2014974231,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__head-side__r2,FoCut5a,Pro00075,10,head-side,2,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,290036636,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__head-side__r3,FoCut5a,Pro00075,10,head-side,3,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,158224427,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__tail-side__r1,FoCut5a,Pro00075,10,tail-side,1,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0190,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,2012153248,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__tail-side__r2,FoCut5a,Pro00075,10,tail-side,2,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,361598976,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__tail-side__r3,FoCut5a,Pro00075,10,tail-side,3,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.2611,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,419971772,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__bidirectional__r1,FoCut5a,Pro00075,20,bidirectional,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1976324599,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__bidirectional__r2,FoCut5a,Pro00075,20,bidirectional,2,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0065,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1799554431,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__bidirectional__r3,FoCut5a,Pro00075,20,bidirectional,3,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0231,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1945158369,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__head-side__r1,FoCut5a,Pro00075,20,head-side,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,871791501,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__head-side__r2,FoCut5a,Pro00075,20,head-side,2,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1933458315,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__head-side__r3,FoCut5a,Pro00075,20,head-side,3,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,920503891,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__tail-side__r1,FoCut5a,Pro00075,20,tail-side,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1855528482,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L20__tail-side__r2,FoCut5a,Pro00075,20,tail-side,2,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1351429501,2025.4,2025.4,deployed_run_copy
